"fecha","valor"
"2021-12-01T03:00:00.000000Z",837.55
"2021-11-30T03:00:00.000000Z",836.73
"2021-11-29T03:00:00.000000Z",829.94
"2021-11-26T03:00:00.000000Z",819.59
"2021-11-25T03:00:00.000000Z",811.7
"2021-11-24T03:00:00.000000Z",809.94
"2021-11-23T03:00:00.000000Z",808.14
"2021-11-22T03:00:00.000000Z",832.72
"2021-11-19T03:00:00.000000Z",834.57
"2021-11-18T03:00:00.000000Z",819.56
"2021-11-17T03:00:00.000000Z",806.24
"2021-11-16T03:00:00.000000Z",801.96
"2021-11-15T03:00:00.000000Z",797.8
"2021-11-12T03:00:00.000000Z",791.3
"2021-11-11T03:00:00.000000Z",791.71
"2021-11-10T03:00:00.000000Z",797.78
"2021-11-09T03:00:00.000000Z",806.61
"2021-11-08T03:00:00.000000Z",812.4
"2021-11-05T03:00:00.000000Z",815.58
"2021-11-04T03:00:00.000000Z",815.52
"2021-11-03T03:00:00.000000Z",814.42
"2021-11-02T03:00:00.000000Z",810.91
"2021-10-29T03:00:00.000000Z",805.47
"2021-10-28T03:00:00.000000Z",804.32
"2021-10-27T03:00:00.000000Z",806.55
"2021-10-26T03:00:00.000000Z",810.16
"2021-10-25T03:00:00.000000Z",816.58
"2021-10-22T03:00:00.000000Z",817.61
"2021-10-21T03:00:00.000000Z",811.55
"2021-10-20T03:00:00.000000Z",813.33
"2021-10-19T03:00:00.000000Z",820.29
"2021-12-01T03:00:00.000000Z",837.55
"2021-11-30T03:00:00.000000Z",836.73
"2021-11-29T03:00:00.000000Z",829.94
"2021-11-26T03:00:00.000000Z",819.59
"2021-11-25T03:00:00.000000Z",811.7
"2021-11-24T03:00:00.000000Z",809.94
"2021-11-23T03:00:00.000000Z",808.14
"2021-11-22T03:00:00.000000Z",832.72
"2021-11-19T03:00:00.000000Z",834.57
"2021-11-18T03:00:00.000000Z",819.56
"2021-11-17T03:00:00.000000Z",806.24
"2021-11-16T03:00:00.000000Z",801.96
"2021-11-15T03:00:00.000000Z",797.8
"2021-11-12T03:00:00.000000Z",791.3
"2021-11-11T03:00:00.000000Z",791.71
"2021-11-10T03:00:00.000000Z",797.78
"2021-11-09T03:00:00.000000Z",806.61
"2021-11-08T03:00:00.000000Z",812.4
"2021-11-05T03:00:00.000000Z",815.58
"2021-11-04T03:00:00.000000Z",815.52
"2021-11-03T03:00:00.000000Z",814.42
"2021-11-02T03:00:00.000000Z",810.91
"2021-10-29T03:00:00.000000Z",805.47
"2021-10-28T03:00:00.000000Z",804.32
"2021-10-27T03:00:00.000000Z",806.55
"2021-10-26T03:00:00.000000Z",810.16
"2021-10-25T03:00:00.000000Z",816.58
"2021-10-22T03:00:00.000000Z",817.61
"2021-10-21T03:00:00.000000Z",811.55
"2021-10-20T03:00:00.000000Z",813.33
"2021-10-19T03:00:00.000000Z",820.29
